id,name,description,category,value,type,state,max_attempts,flags,tags,hints,type_data,connection_info
1,SQL Injection 1,"### SQL Injection 1 ###
* Challenge about SQL Injection
* Goal: Login as admin",[Injection Vulnerabilities] SQL Injection,100,standard,visible,0,VIS{SQL_can_BYPASS_authen??},"Injection, SQLi, VIS",,,http://localhost:1001/
2,SQL Injection 2,"### SQL Injection 2 ###
* Challenge about SQL Injection
* Goal: Login as admin",[Injection Vulnerabilities] SQL Injection,100,standard,visible,0,VIS{Just_Ez_S3mi_C0l0n_ByPass},"Injection, SQLi, VIS",,,http://localhost:1001/level2.php
3,SQL Injection 3,"### SQL Injection 3 ### 

* Challenge about SQL Injection
* Goal: Dumb database",[Injection Vulnerabilities] SQL Injection,100,standard,visible,0,VIS{Every_In4_0f_uSers},"Injection, SQLi, VIS",,,http://localhost:1001/level3.php
4,Command Injection 1,"### Command Injection 1 ###
* Challenge about Command Injection
* Goal: Read the secret flag",[Injection Vulnerabilities] Command Injection,100,standard,visible,0,VIS{Easy_RCE_wIth_CMDi},"Injection, CMDi, VIS",,,http://localhost:2001/
5,Command Injection 2,"### Command Injeciton 2 ###
* Challenge about Command Injection
* Goal: Read the secret flag",[Injection Vulnerabilities] Command Injection,100,standard,visible,0,VIS{iS_ThAT_FilTer_T0o_S!mple},"Injection, CMDi, VIS",,,http://localhost:2001/level2.php
6,Command Injection 3*,"### Command Injection 3 ###
* Challenge about Command Injection
* Goal: Read the secret file",[Injection Vulnerabilities] Command Injection,100,standard,visible,0,VIS{Many_More_wAys_t0_ExTend_A_Command},"Injection, CMDi, VIS",,,http://localhost:2001/level3.php
7,File upload 1,"### File Upload Vulnerabilities 1 ###
* Challenge about File Upload Vulnerabilities 
* Goal: RCE the server and read the secret in the base root  (<b>""/""</b>) directory",[File Vulnerabilities] File Upload,100,standard,visible,0,VIS{phP_runs_Php..},"VIS, FileVul",,,http://localhost:3001/
8,File upload 2,"### File Upload Vulnerabilities 2 ###
* Challenge about File Upload Vulnerabilities 
* Goal: RCE the server and read the secret in the base root  (<b>""/""</b>) directory",[File Vulnerabilities] File Upload,100,standard,visible,0,VIS{Not_S0_gUT_Defense},"VIS, FileVul",,,http://localhost:3002/
9,File upload 3,"### File Upload Vulnerabilities 3 ###
* Challenge about File Upload Vulnerabilities 
* Goal: RCE the server and read the secret in the base root  (<b>""/""</b>) directory",[File Vulnerabilities] File Upload,100,standard,visible,0,VIS{Is_Blacklist_Go0d_Enough?},"VIS, FileVul",,,http://localhost:3003/
10,File upload 4,"### File Upload Vulnerabilities 4 ###
* Challenge about File Upload Vulnerabilities 
* Goal: RCE the server and read the secret in the base root  (<b>""/""</b>) directory

<b>Hint</b>: Is there any other config?",[File Vulnerabilities] File Upload,100,standard,visible,0,VIS{Still_More_C0nfig_0uthEre?},"VIS, FileVul",,,http://localhost:3004/
